seed,episode,effect_type,change_type,oid,action,family,family_signal_ambiguous,has_dev_features,fallback_activated,fallback_used,soft_prior,positive_prior_evidence,ground_truth_outcome,is_violation,is_nonviolation,classification,rationale
101,0,direct,,test_wooden_pickaxe_012,,tool-like,False,False,True,True,,True,1,False,True,neutral,same action selected under both paths
101,0,direct,,test_stone_block_000,,wood-like,True,False,True,True,,True,0,True,False,neutral,same action selected under both paths
101,0,direct,,test_stone_block_002,,stone-like,False,True,False,False,,True,0,True,False,neutral,same action selected under both paths
101,0,direct,,test_apple_004,,apple-like,False,True,False,False,,True,0,True,False,neutral,same action selected under both paths
101,0,direct,,test_apple_008,,apple-like,False,False,True,True,,True,1,False,True,neutral,same action selected under both paths
101,1,direct,,test_wooden_pickaxe_013,,tool-like,True,False,True,True,,True,1,False,True,neutral,same action selected under both paths
101,1,direct,,test_stone_block_005,,apple-like,True,False,True,True,,True,0,True,False,neutral,same action selected under both paths
101,1,direct,,test_stone_block_001,,stone-like,True,False,True,True,,True,0,True,False,neutral,same action selected under both paths
101,1,direct,,test_stone_block_006,,stone-like,True,False,True,True,,True,1,False,True,helpful,fallback switched from violation (mine_by_hand) to non-violation (mine_with_pickaxe)
101,1,direct,,test_stone_block_008,,stone-like,True,False,True,True,,True,1,False,True,helpful,fallback switched from violation (mine_by_hand) to non-violation (mine_with_pickaxe)
101,2,direct,,test_wood_log_001,,wood-like,False,True,False,False,,True,0,True,False,neutral,same action selected under both paths
101,2,direct,,test_apple_003,,wood-like,True,False,True,True,,True,0,True,False,neutral,both paths select violation actions
101,2,direct,,test_stone_block_010,,stone-like,True,False,True,True,,True,1,False,True,helpful,fallback switched from violation (mine_by_hand) to non-violation (mine_with_pickaxe)
101,2,direct,,test_stone_block_003,,stone-like,True,False,True,True,,True,1,False,True,helpful,fallback switched from violation (mine_by_hand) to non-violation (mine_with_pickaxe)
101,2,direct,,test_wooden_pickaxe_012,,tool-like,False,False,True,True,,True,1,False,True,neutral,same action selected under both paths
101,3,direct,,test_wood_log_008,,wood-like,False,True,False,False,,True,1,False,True,neutral,same action selected under both paths
101,3,direct,,test_wood_log_012,,wood-like,True,True,False,False,,True,1,False,True,neutral,same action selected under both paths
101,3,direct,,test_wood_log_000,,wood-like,False,True,False,False,,True,1,False,True,neutral,same action selected under both paths
101,3,direct,,test_wood_log_005,,wood-like,False,True,False,False,,True,1,False,True,neutral,same action selected under both paths
101,3,direct,,test_wood_log_001,,wood-like,False,True,False,False,,True,0,True,False,neutral,same action selected under both paths
101,4,direct,,test_wood_log_000,,wood-like,False,True,False,False,,True,1,False,True,neutral,same action selected under both paths
101,4,direct,,test_wood_log_001,,wood-like,False,True,False,False,,True,0,True,False,neutral,same action selected under both paths
101,4,direct,,test_wood_log_005,,wood-like,False,True,False,False,,True,1,False,True,neutral,same action selected under both paths
101,4,direct,,test_wood_log_008,,wood-like,False,True,False,False,,True,1,False,True,neutral,same action selected under both paths
101,4,direct,,test_wood_log_012,,wood-like,True,True,False,False,,True,1,False,True,neutral,same action selected under both paths
101,1,trajectory,fb_avoided,test_wood_log_005,craft_plank,wood-like,False,True,False,False,0.85,True,1,False,True,harmful,trajectory: FB avoided non-violation B correctly probed
101,1,trajectory,fb_avoided,test_apple_005,eat,apple-like,True,False,True,True,0.85,True,1,False,True,harmful,trajectory: FB avoided non-violation B correctly probed
101,1,trajectory,fb_avoided,test_stone_block_000,craft_plank,wood-like,True,False,True,True,0.85,True,0,True,False,helpful,trajectory: FB avoided violation B would have committed
101,1,trajectory,fb_added,test_stone_block_008,mine_with_pickaxe,stone-like,True,False,True,True,0.85,True,1,False,True,helpful,trajectory: FB probed non-violation B missed
101,1,trajectory,fb_added,test_stone_block_001,mine_by_hand,stone-like,True,False,True,True,0.85,True,0,True,False,harmful,trajectory: FB probed violation B correctly avoided
