episode_id,step_id,object_id,action,inferred_family_used_by_policy,dominant_observed_family_cue,second_observed_family_cue,family_cue_conflict_detected,has_injected_deviation_features,type_family_features_present,deviation_features_present,features_used_by_signed_memory,features_excluded_from_signed_memory,did_family_only_avoid_case,offline_has_signal_without_dev_feat,primary_representation_gap
?,?,test_apple_001,craft_plank,wood-like,wood-like,stone-like,True,False,block_like;brownish;grayish;greenish;long_shape;movable;smooth_texture,,,block_like;brownish;grayish;greenish;long_shape;movable;smooth_texture;solid,False,False,cross_family_conflict_not_represented
?,?,test_apple_004,eat,apple-like,apple-like,tool-like,True,False,block_like;greenish;has_shaft_shape;has_stem_remnant;light_weight;long_shape;movable;rough_texture,,,block_like;greenish;has_shaft_shape;has_stem_remnant;light_weight;long_shape;movable;rough_texture;near_table;recently_seen,True,False,family_only_signal_not_integrated
?,?,test_apple_005,use_as_tool,tool-like,tool-like,wood-like,True,False,block_like;elongated_with_handle;has_stem_remnant;long_shape;movable;rough_texture;round_small,,,block_like;elongated_with_handle;has_stem_remnant;long_shape;movable;rough_texture;round_small;on_left_side;recently_seen;solid,False,False,cross_family_conflict_not_represented
?,?,test_stone_block_002,eat,apple-like,apple-like,tool-like,True,False,has_stem_remnant;heavy_weight;light_weight;long_shape;movable,,,has_stem_remnant;heavy_weight;light_weight;long_shape;movable;near_table;on_left_side;recently_seen;solid,False,False,cross_family_conflict_not_represented
?,?,test_stone_block_003,use_as_tool,tool-like,tool-like,stone-like,True,False,has_granular_surface;has_grip_area;has_shaft_shape;heavy_weight;long_shape;movable;smooth_texture,,,has_granular_surface;has_grip_area;has_shaft_shape;heavy_weight;long_shape;movable;smooth_texture;solid,False,False,cross_family_conflict_not_represented
?,?,test_stone_block_004,craft_plank,wood-like,wood-like,stone-like,True,False,brownish;has_bark_texture;has_crystal_flecks;has_granular_surface;heavy_weight;long_shape;movable;round_small;smooth_texture,,,brownish;has_bark_texture;has_crystal_flecks;has_granular_surface;heavy_weight;long_shape;movable;round_small;smooth_texture;solid,True,False,family_only_signal_not_integrated
?,?,test_stone_block_006,eat,apple-like,apple-like,wood-like,True,False,greenish;has_granular_surface;has_shaft_shape;light_weight;long_shape;rough_texture;round_small,,,greenish;has_granular_surface;has_shaft_shape;light_weight;long_shape;rough_texture;round_small;near_table;solid,True,False,family_only_signal_not_integrated
?,?,test_stone_block_008,craft_plank,wood-like,wood-like,stone-like,True,False,block_like;brownish;greenish;has_bark_texture;has_granular_surface;has_shaft_shape;has_stem_remnant,,,block_like;brownish;greenish;has_bark_texture;has_granular_surface;has_shaft_shape;has_stem_remnant;on_left_side;recently_seen;solid,True,False,family_only_signal_not_integrated
?,?,test_stone_block_012,craft_plank,wood-like,wood-like,tool-like,True,False,brownish;has_shaft_shape;has_wood_grain;light_weight;long_shape;movable;round_small,,,brownish;has_shaft_shape;has_wood_grain;light_weight;long_shape;movable;round_small;on_left_side;recently_seen;solid,True,False,family_only_signal_not_integrated
?,?,test_wood_log_001,craft_plank,wood-like,wood-like,stone-like,True,False,block_like;elongated_with_handle;grayish;has_bark_texture;has_wood_grain;light_weight;movable;smooth_texture,,,block_like;elongated_with_handle;grayish;has_bark_texture;has_wood_grain;light_weight;movable;smooth_texture;near_table;recently_seen,True,False,family_only_signal_not_integrated
?,?,test_wooden_pickaxe_002,eat,apple-like,apple-like,tool-like,True,False,brownish;greenish;has_grip_area;has_shaft_shape;movable;rough_texture;round_small;smooth_texture,,,brownish;greenish;has_grip_area;has_shaft_shape;movable;rough_texture;round_small;smooth_texture;near_table;recently_seen;solid,True,False,family_only_signal_not_integrated
?,?,test_wooden_pickaxe_005,eat,apple-like,apple-like,tool-like,True,False,has_bark_texture;has_granular_surface;has_grip_area;has_peel_texture;heavy_weight;light_weight;long_shape;movable;smooth_texture,,,has_bark_texture;has_granular_surface;has_grip_area;has_peel_texture;heavy_weight;light_weight;long_shape;movable;smooth_texture;near_table;solid,True,False,family_only_signal_not_integrated
